"Date","AUS"
"15/03",""
"16/03",""
"17/03",""
"18/03",""
"19/03",""
"20/03",""
"21/03",""
"22/03",""
"23/03",""
"24/03",""
"25/03",""
"26/03",""
"27/03",""
"28/03",""
"29/03",""
"30/03","295"
"31/03","268"
"01/04","396"
"02/04","414"
"03/04","410"
"04/04",""
"05/04","408"
"06/04","448"
"07/04","305"
"08/04","263"
"09/04","262"
"10/04","236"
"11/04","240"
"12/04","239"
"13/04","227"
"14/04","230"
"15/04","214"
"16/04","201"
"17/04","192"
"18/04","184"
"19/04","177"
"20/04","170"
"21/04","167"
"22/04","162"
"23/04","152"
"24/04","138"
"25/04","129"
"26/04","115"
"27/04","113"
"28/04","109"
"29/04","93"
"30/04","89"
"01/05","83"
"02/05","79"
"03/05","75"
"04/05","70"
"05/05","66"
"06/05","62"
"07/05","58"
"08/05","56"
"09/05","51"
"10/05","43"
"11/05","49"
"12/05","47"
"13/05","50"
"14/05","51"
"15/05","46"
"16/05","49"
"17/05","50"
"18/05","45"
"19/05","47"
"20/05","43"
"21/05","41"
"22/05","39"
"23/05","35"
"24/05","33"
"25/05","31"
"26/05","30"
"27/05","30"
"28/05","27"
"29/05","23"
"30/05","22"
"31/05","21"
"01/06","20"
"02/06","26"
"03/06","25"
"04/06","23"
"05/06","21"
"06/06","21"
"07/06","18"
"08/06","19"
"09/06","19"
"10/06","20"
"11/06","18"
"12/06","17"
"13/06","16"
"14/06","16"
"15/06","17"
"16/06","17"
"17/06","16"
"18/06","14"
"19/06","15"
"20/06","17"
"21/06","15"
"22/06","16"
"23/06","19"
"24/06","16"
"25/06","16"
"26/06","12"
"27/06","12"
"28/06","11"
"29/06","15"
"30/06","14"
"01/07","18"
"02/07","24"
"03/07","27"
"04/07","29"
"05/07","30"
"06/07","34"
"07/07","39"
"08/07","46"
"09/07","45"
"10/07","54"
"11/07","55"
"12/07","67"
"13/07","92"
"14/07","90"
"15/07","111"
"16/07","114"
"17/07","126"
"18/07","116"
"19/07","135"
"20/07","156"
"21/07","183"
"22/07","214"
"23/07","211"
"24/07","217"
"25/07","239"
"26/07","241"
"27/07","259"
"28/07","275"
"29/07","323"
"30/07","330"
"31/07","366"
