"Date","AUS"
"15/03",""
"16/03",""
"17/03",""
"18/03",""
"19/03",""
"20/03",""
"21/03",""
"22/03",""
"23/03",""
"24/03",""
"25/03",""
"26/03",""
"27/03",""
"28/03",""
"29/03",""
"30/03","55"
"31/03","63"
"01/04","76"
"02/04","80"
"03/04","85"
"04/04",""
"05/04","91"
"06/04","96"
"07/04","93"
"08/04","87"
"09/04","81"
"10/04","72"
"11/04","80"
"12/04","81"
"13/04","79"
"14/04","80"
"15/04","76"
"16/04","66"
"17/04","60"
"18/04","55"
"19/04","48"
"20/04","49"
"21/04","47"
"22/04","47"
"23/04","45"
"24/04","42"
"25/04","43"
"26/04","42"
"27/04","43"
"28/04","42"
"29/04","38"
"30/04","34"
"01/05","28"
"02/05","28"
"03/05","28"
"04/05","28"
"05/05","27"
"06/05","27"
"07/05","23"
"08/05","21"
"09/05","19"
"10/05","17"
"11/05","16"
"12/05","16"
"13/05","17"
"14/05","18"
"15/05","17"
"16/05","16"
"17/05","16"
"18/05","12"
"19/05","11"
"20/05","9"
"21/05","9"
"22/05","7"
"23/05","5"
"24/05","5"
"25/05","5"
"26/05","5"
"27/05","6"
"28/05","5"
"29/05","4"
"30/05","4"
"31/05","4"
"01/06","3"
"02/06","4"
"03/06","5"
"04/06","4"
"05/06","2"
"06/06","4"
"07/06","3"
"08/06","3"
"09/06","2"
"10/06","3"
"11/06","2"
"12/06","2"
"13/06","2"
"14/06","3"
"15/06","4"
"16/06","3"
"17/06","3"
"18/06","2"
"19/06","2"
"20/06","3"
"21/06","2"
"22/06","2"
"23/06","3"
"24/06","2"
"25/06","2"
"26/06","1"
"27/06","1"
"28/06","1"
"29/06","1"
"30/06","1"
"01/07","3"
"02/07","5"
"03/07","7"
"04/07","4"
"05/07","4"
"06/07","6"
"07/07","10"
"08/07","8"
"09/07","10"
"10/07","13"
"11/07","16"
"12/07","17"
"13/07","18"
"14/07","27"
"15/07","28"
"16/07","30"
"17/07","32"
"18/07","26"
"19/07","29"
"20/07","33"
"21/07","38"
"22/07","42"
"23/07","41"
"24/07","44"
"25/07","46"
"26/07","46"
"27/07","49"
"28/07","47"
"29/07","46"
"30/07","40"
"31/07","44"
