"","Active Cases","Deaths","Recoveries","Inactives removed"
"15/03","291","6","","0"
"16/03","370","6","","0"
"17/03","448","6","","0"
"18/03","560","7","","0"
"19/03","674","7","28","0"
"20/03","800","8","39","0"
"21/03","1,013","8","51","0"
"22/03","1,274","8","70","0"
"23/03","1,575","8","97","0"
"24/03","1,928","9","113","0"
"25/03","2,291","10","129","0"
"26/03","2,644","14","151","0"
"27/03","2,962","14","204","0"
"28/03","3,402","15","223","0"
"29/03","3,742","17","225","0"
"30/03","3,940","19","291","0"
"31/03","4,196","20","345","0"
"01/04","4,425","21","418","0"
"02/04","4,540","25","572","0"
"03/04","4,698","29","635","0"
"04/04","4,835","31","686","0"
"05/04","3,342","36","2,315","0"
"06/04","3,326","41","2,432","0"
"07/04","3,320","49","2,549","0"
"08/04","3,157","51","2,815","0"
"09/04","3,067","52","2,989","0"
"10/04","3,017","55","3,142","0"
"11/04","2,979","57","3,266","0"
"12/04","2,926","60","3,338","0"
"13/04","2,809","62","3,494","0"
"14/04","2,753","63","3,598","0"
"15/04","2,885","64","3,688","189"
"16/04","2,856","64","3,747","189"
"17/04","2,829","66","3,819","189"
"18/04","2,522","69","4,163","192"
"19/04","2,497","71","4,230","192"
"20/04","2,481","72","4,258","192"
"21/04","2,066","72","4,695","192"
"22/04","1,830","75","4,935","192"
"23/04","1,727","76","5,045","192"
"24/04","1,650","79","5,136","192"
"25/04","1,429","81","5,373","192"
"26/04","1,277","84","5,541","192"
"27/04","1,237","84","5,588","192"
"28/04","1,206","85","5,630","192"
"29/04","1,174","90","5,670","192"
"30/04","1,133","92","5,717","192"
"01/05","1,114","94","5,747","192"
"02/05","1,080","94","5,796","192"
"03/05","1,075","96","5,817","192"
"04/05","1,053","96","5,863","192"
"05/05","1,048","98","5,890","194"
"06/05","983","98","5,979","194"
"07/05","946","98","6,038","194"
"08/05","918","98","6,084","194"
"09/05","879","98","6,137","194"
"10/05","862","98","6,166","194"
"11/05","853","98","6,182","194"
"12/05","822","98","6,233","194"
"13/05","791","99","6,274","194"
"14/05","781","99","6,299","194"
"15/05","775","99","6,336","194"
"16/05","762","99","6,366","194"
"17/05","767","99","6,369","194"
"18/05","748","100","6,396","194"
"19/05","737","100","6,415","194"
"20/05","717","101","6,445","194"
"21/05","692","101","6,472","194"
"22/05","694","102","6,480","197"
"23/05","694","103","6,492","197"
"24/05","682","103","6,507","196"
"25/05","663","103","6,530","196"
"26/05","658","103","6,551","196"
"27/05","657","103","6,558","196"
"28/05","653","103","6,580","196"
"29/05","669","103","6,580","196"
"30/05","647","103","6,613","196"
"31/05","659","103","6,611","196"
"01/06","663","103","6,615","196"
"02/06","675","103","6,620","196"
"03/06","668","103","6,635","196"
"04/06","649","103","6,660","201"
"05/06","644","103","6,676","201"
"06/06","638","103","6,684","201"
"07/06","633","103","6,693","201"
"08/06","634","103","6,700","199"
"09/06","623","103","6,714","198"
"10/06","608","103","6,736","198"
"11/06","309","103","6,751","302"
"12/06","144","103","6,773","449"
"13/06","137","103","6,802","440"
"14/06","128","103","6,828","441"
"15/06","130","103","6,841","441"
"16/06","139","103","6,846","439"
"17/06","152","103","6,860","435"
"18/06","173","103","6,860","435"
"19/06","179","103","6,870","437"
"20/06","197","103","6,877","438"
"21/06","214","103","6,885","438"
"22/06","220","103","6,892","438"
"23/06","224","103","6,904","440"
"24/06","244","104","6,913","439"
"25/06","174","104","6,930","527"
"26/06","195","104","6,946","527"
"27/06","217","104","6,967","530"
"28/06","245","104","6,981","533"
"29/06","304","104","6,996","540"
"30/06","339","104","7,023","545"
"01/07","386","104","7,051","556"
"02/07","431","104","7,078","565"
"03/07","458","104","7,116","565"
"04/07","523","104","7,153","569"
"05/07","563","104","7,197","572"
"06/07","668","106","7,218","581"
"07/07","795","106","7,253","588"
"08/07","887","106","7,284","595"
"09/07","960","106","7,372","607"
"10/07","1188","106","7,432","619"
"11/07","1287","107","7,519","624"
"12/07","1524","108","7,523","626"
"13/07","1661","108","7,564","631"
"14/07","1864","110","7,630","631"
"15/07","2009","111","7,723","636"
"16/07","2210","113","7,831","640"
"17/07","2548","116","7,912","643"
"18/07","2701","119","7,955","648"
"19/07","2948","122","8,066","648"
"20/07","3027","123","8,188","714"
"21/07","3266","126","8,336","682"
"22/07","3544","128","8,445","761"
"23/07","3777","133","8,564","811"
"24/07","3887","140","8,718","829"
"25/07","4156","145","8,804","822"
"26/07","4400","155","8,957","868"
"27/07","4713","161","9,098","940"
"28/07","4962","167","9,218","934"
"29/07","5047","176","9,407","930"
"30/07","5620","189","9,541","927"
"31/07","5988","197","9,765","930"
"01/08","6180","201","9,982","891"
"02/08","6592","208","10,206","889"
"03/08","6757","221","10,403","909"
"04/08","6998","232","10,577","895"
"05/08","7518","247","10,721","930"
"06/08","7753","255","10,926","929"
"07/08","7942","266","11,128","937"
"08/08","8109","278","11,367","944"
"09/08","8158","294","11,680","952"
"10/08","8173","312","11,949","963"
"11/08","8192","331","12,200","991"
"12/08","8192","352","12,587","996"
"13/08","8177","361","12,809","1,011"
"14/08","8189","375","13,158","1,020"
"15/08","8183","379","13,442","1,031"
"16/08","7971","396","13,893","1,028"
"17/08","7767","421","14,346","1,025"
"18/08","7556","438","14,736","1,043"
"19/08","7433","450","15,054","1,056"
"20/08","5130","463","17,661","982"
"21/08","4677","472","18,268","990"
"22/08","4555","485","18,567","995"
"23/08","4293","502","19,041","976"
"24/08","3972","517","19,411","1,016"
"25/08","3878","525","19,622","1,028"
"26/08","3717","549","19,908","1,031"
"27/08","3513","571","20,174","1,064"
"28/08","3343","582","20,441","1,082"
"29/08","3198","600","20,664","1,085"
"30/08","3046","611","20,924","1,089"
"31/08","2820","652","21,158","1,116"
"01/09","2729","657","21,311","1,122"
"02/09","2621","663","21,498","1,141"
"03/09","2497","678","21,720","1,154"
"04/09","2252","737","21,978","1,169"
"05/09","2147","748","22,138","1,174"
"06/09","2061","753","22,275","1,190"
"07/09","1954","762","22,411","1,195"
"08/09","1865","770","22,532","1,207"
"09/09","1797","781","22,671","1,216"
"10/09","1659","788","22,844","1,222"
"11/09","1514","797","23,025","1,229"
"12/09","1430","803","23,137","1,236"
"13/09","1340","809","23,270","1,231"
"14/09","1257","816","23,386","1,232"
"15/09","1220","816","23,460","1,241"
"16/09","1172","824","23,534","1,249"
"17/09","1127","832","23,600","1,254"
"18/09","1094","837","23,663","1,267"
"19/09","1000","843","23,770","1,272"
"20/09","903","849","23,870","1,276"
"21/09","813","851","23,965","1,283"
"22/09","768","854","24,026","1,294"
"23/09","682","859","24,111","1,322"
"24/09","654","861","24,137","1,331"
"25/09","595","869","24,209","1,327"
"26/09","553","870","24,257","1,336"
"27/09","506","872","24,317","1,345"
"28/09","455","875","24,360","1,354"
"29/09","420","882","24,396","1,365"
"30/09","391","886","24,427","1,374"
"01/10","369","888","24,457","1,382"
"02/10","337","890","24,497","1,389"
"03/10","312","893","24,522","1,394"
"04/10","304","894","24,538","1,400"
"05/10","286","894","24,564","1,405"
"06/10","269","895","24,588","1,422"
"07/10","248","897","24,607","1,430"
"08/10","248","897","24,620","1,441"
"09/10","243","897","24,641","1,448"
"10/10","236","897","24,656","1,455"
"11/10","239","898","24,668","1,459"
"12/10","239","898","24,683","1,466"
"13/10","241","899","24,703","1,473"
"14/10","249","904","24,709","1,479"
"15/10","250","904","24,722","1,486"
"16/10","227","904","24,749","1,491"
"17/10","226","904","24,758","1,495"
"18/10","219","904","24,768","1,500"
"19/10","217","905","24,772","1,505"
"20/10","229","905","24,786","1,510"
"21/10","215","905","24,808","1,516"
"22/10","220","905","24,820","1,521"
"23/10","223","905","24,828","1,528"
"24/10","222","905","24,838","1,534"
"25/10","229","905","24,845","1,541"
"26/10","214","905","24,863","1,545"
"27/10","211","905","24,868","1,557"
"28/10","202","907","24,880","1,566"
"29/10","202","907","24,893","1,568"
"30/10","201","907","24,898","1,576"
"31/10","190","907","24,978","1,515"
"01/11","175","907","24,990","1,523"
"02/11","156","907","25,010","1,529"
"03/11","134","907","25,038","1,531"
"04/11","116","907","25,060","1,539"
"05/11","107","907","25,071","1,549"
"06/11","106","907","25,077","1,555"
"07/11","94","907","25,089","1,562"
"08/11","89","907","25,097","1,565"
"09/11","85","907","25,100","1,576"
"10/11","76","907","25,102","1,592"
"11/11","76","907","25,103","1,599"
"12/11","76","907","25,108","1,607"
"13/11","76","907","25,114","1,606"
"14/11","76","907","25,119","1,609"
"15/11","76","907","25,125","1,620"
"16/11","86","907","25,134","1,623"
"17/11","86","907","25,140","1,627"
"18/11","94","907","25,141","1,635"
"19/11","94","907","25,142","1,641"
"20/11","97","907","25,143","1,645"
"21/11","90","907","25,150","1,659"
"22/11","90","907","25,152","1,672"
"23/11","93","907","25,156","1,679"
"24/11","99","907","25,157","1,685"
"25/11","101","907","25,163","1,685"
"26/11","100","907","25,170","1,687"
"27/11","88","907","25,186","1,693"
"28/11","77","907","25,200","1,701"
"29/11","75","907","25,204","1,706"
"30/11","65","908","25,213","1,717"
"01/12","57","908","25,222","1,725"
"02/12","52","908","25,231","1,732"
"03/12","52","908","25,236","1,744"
"04/12","47","908","25,245","1,749"
"05/12","45","908","25,252","1,751"
"06/12","46","908","25,255","1,756"
"07/12","46","908","25,258","1,760"
"08/12","49","908","25,263","1,767"
"09/12","46","908","25,269","1,770"
"10/12","49","908","25,275","1,769"
"11/12","49","908","25,278","1,777"
"12/12","54","908","25,282","1,781"
"13/12","53","908","25,286","1,783"
"14/12","48","908","25,295","1,788"
"15/12","47","908","25,299","1,793"
"16/12","49","908","25,299","1,803"
"17/12","52","908","25,305","1,807"
"18/12","65","908","25,310","1,810"
"19/12","92","908","25,311","1,817"
"20/12","122","908","25,318","1,824"
"21/12","134","908","25,322","1,834"
"22/12","139","908","25,329","1,843"
"23/12","144","908","25,332","1,853"
"24/12","157","908","25,336","1,861"
"25/12","163","908","25,341","1,864"
"26/12","177","908","25,340","1,871"
"27/12","186","908","25,342","1,876"
"28/12","189","909","25,352","1,887"
"29/12","187","909","25,358","1,896"
"30/12","204","909","25,363","1,905"
"31/12","220","909","25,366","1,912"
"01/01","236","909","25,367","1,915"
"02/01","263","909","25,375","1,923"
"03/01","274","909","25,382","1,918"
"04/01","286","909","25,382","1,928"
"05/01","291","909","25,392","1,931"
"06/01","303","909","25,392","1,932"
"07/01","301","909","25,399","1,937"
"08/01","309","909","25,405","1,948"
"09/01","311","909","25,406","1,956"
"10/01","316","909","25,411","1,959"
"11/01","317","909","25,423","1,965"
"12/01","312","909","25,429","1,984"
"13/01","296","909","25,443","2,002"
"14/01","276","909","25,450","2,023"
"15/01","260","909","25,457","2,043"
"16/01","231","909","25,470","2,079"
"17/01","222","909","25,481","2,096"
"18/01","202","909","25,497","2,113"
"19/01","198","909","25,498","2,126"
"20/01","186","909","25,510","2,135"
"21/01","170","909","25,519","2,151"
"22/01","157","909","25,527","2,162"
"23/01","144","909","25,539","2,169"
"24/01","129","909","25,550","2,178"
"25/01","122","909","25,562","2,184"
"26/01","116","909","25,564","2,191"
"27/01","102","909","25,572","2,204"
"28/01","92","909","25,584","2,209"
"29/01","84","909","25,585","2,222"
"30/01","72","909","25,592","2,233"
"31/01","67","909","25,607","2,229"
"01/02","62","909","25,607","2,240"
"02/02","55","909","25,616","2,244"
"03/02","56","909","25,617","2,247"
"04/02","51","909","25,624","2,254"
"05/02","54","909","25,624","2,255"
"06/02","52","909","25,627","2,260"
"07/02","53","909","25,627","2,261"
"08/02","51","909","25,633","2,264"
"09/02","44","909","25,640","2,267"
"10/02","47","909","25,644","2,271"
"11/02","49","909","25,646","2,275"
"12/02","44","909","25,652","2,282"
"13/02","40","909","25,656","2,287"
"14/02","42","909","25,659","2,288"
"15/02","41","909","25,666","2,284"
"16/02","43","909","25,668","2,285"
"17/02","41","909","25,672","2,289"
"18/02","41","909","25,673","2,289"
"19/02","42","909","25,676","2,291"
"20/02","38","909","25,682","2,291"
"21/02","39","909","25,684","2,294"
"22/02","42","909","25,684","2,295"
"23/02","42","909","25,687","2,299"
"24/02","37","909","25,693","2,300"
"25/02","33","909","25,698","2,307"
"26/02","38","909","25,700","2,311"
"27/02","72","909","25,704","2,280"
"28/02","73","909","25,705","2,283"
"01/03","74","909","25,711","2,284"
"02/03","72","909","25,716","2,289"
