Date;New cases / day
25/01/20;4
26/01/20;0
27/01/20;1
28/01/20;0
29/01/20;4
30/01/20;0
31/01/20;0
01/02/20;1
02/02/20;2
03/02/20;0
04/02/20;1
05/02/20;1
06/02/20;1
07/02/20;0
08/02/20;0
09/02/20;0
10/02/20;0
11/02/20;0
12/02/20;0
13/02/20;0
14/02/20;0
15/02/20;0
16/02/20;0
17/02/20;0
18/02/20;0
19/02/20;0
20/02/20;0
21/02/20;4
22/02/20;1
23/02/20;0
24/02/20;0
25/02/20;0
26/02/20;0
27/02/20;3
28/02/20;2
29/02/20;0
01/03/20;3
02/03/20;4
03/03/20;8
04/03/20;11
05/03/20;8
06/03/20;4
07/03/20;10
08/03/20;7
09/03/20;12
10/03/20;20
11/03/20;15
12/03/20;30
13/03/20;41
14/03/20;51
15/03/20;48
16/03/20;79
17/03/20;78
18/03/20;113
19/03/20;142
20/03/20;138
21/03/20;225
22/03/20;280
23/03/20;328
24/03/20;370
25/03/20;380
26/03/20;379
27/03/20;371
28/03/20;460
29/03/20;344
30/03/20;266
31/03/20;311
01/04/20;303
02/04/20;273
03/04/20;225
04/04/20;190
05/04/20;141
06/04/20;106
07/04/20;119
08/04/20;105
09/04/20;85
10/04/20;106
11/04/20;88
12/04/20;22
13/04/20;41
14/04/20;49
15/04/20;223
16/04/20;30
17/04/20;47
18/04/20;42
19/04/20;44
20/04/20;13
21/04/20;22
22/04/20;7
23/04/20;8
24/04/20;17
25/04/20;18
26/04/20;19
27/04/20;7
28/04/20;12
29/04/20;13
30/04/20;8
01/05/20;13
02/05/20;15
03/05/20;18
04/05/20;24
05/05/20;26
06/05/20;24
07/05/20;22
08/05/20;18
09/05/20;14
10/05/20;12
11/05/20;7
12/05/20;20
13/05/20;11
14/05/20;15
15/05/20;31
16/05/20;17
17/05/20;8
18/05/20;9
19/05/20;8
20/05/20;11
21/05/20;2
22/05/20;14
23/05/20;13
24/05/20;3
25/05/20;4
26/05/20;15
27/05/20;6
28/05/20;18
29/05/20;16
30/05/20;11
31/05/20;10
01/06/20;8
02/06/20;17
03/06/20;8
04/06/20;11
05/06/20;11
06/06/20;2
07/06/20;4
08/06/20;6
09/06/20;2
10/06/20;7
11/06/20;9
12/06/20;4
13/06/20;13
14/06/20;18
15/06/20;15
16/06/20;12
17/06/20;23
18/06/20;21
19/06/20;18
20/06/20;26
21/06/20;25
22/06/20;13
23/06/20;18
24/06/20;29
25/06/20;36
26/06/20;37
27/06/20;46
28/06/20;45
29/06/20;81
30/06/20;67
01/07/20;86
02/07/20;81
03/07/20;65
04/07/20;106
05/07/20;87
06/07/20;137
07/07/20;169
08/07/20;130
09/07/20;173
10/07/20;300
11/07/20;192
12/07/20;244
13/07/20;183
14/07/20;271
15/07/20;244
16/07/20;315
17/07/20;425
18/07/20;204
19/07/20;361
20/07/20;268
21/07/20;358
