alpha,gamma,delta,sigma,tau
0.249999999306913,0.120000000026363,0.00999997152412441,0.0200000108602106,0.0999995737002386
0.249999998503704,0.120000000003786,0.00999993371293619,0.0200000249677343,0.0999990050638849
0.249999997220868,0.120000000290513,0.00999988383024467,0.0200000454942205,0.0999982706215189
0.249999995625604,0.120000000543032,0.00999982331521647,0.0200000698398898,0.0999973720700321
0.249999993695612,0.120000000760219,0.00999975168171874,0.020000098216626,0.0999962992372889
0.249999991419307,0.120000000941816,0.00999966854790841,0.0200001308061192,0.0999950432776393
0.24999998878183,0.120000001088919,0.0099995735943295,0.020000167772534,0.0999935961943677
0.249999985736009,0.120000001207821,0.00999946654284154,0.0200002092677494,0.0999919505532617
0.249999982203373,0.120000001310022,0.00999934712535998,0.0200002554400329,0.0999900993453249
0.249999978096271,0.120000001410134,0.00999921506670052,0.0200003064386956,0.0999880358821451
0.249999973509177,0.120000001497481,0.00999907007971446,0.0200003624153458,0.0999857535471608
0.249999968630063,0.120000001552762,0.00999891185853315,0.0200004235260412,0.0999832455333872
0.249999963632918,0.12000000157654,0.00999874005343285,0.0200004899387076,0.0999805042962998
0.249999958603501,0.120000001651262,0.00999855420793765,0.0200005618473056,0.0999775207514865
0.249999953603786,0.120000002101075,0.00999835370186613,0.0200006394613336,0.099974283362539
0.249999951369252,0.120000002047619,0.00999813910840286,0.020000719646263,0.0999707765090229
0.249999950772642,0.12000000588115,0.00999790665797888,0.0200008059786235,0.0999669825316237
0.249999954731085,0.120000024892817,0.00999766143896413,0.0200008976573934,0.0999628680457058
0.249999974616467,0.120000077432971,0.00999746109989329,0.0200009662361374,0.0999583441419157
0.250000037063815,0.12000019081697,0.00999750122035955,0.0200009329966563,0.0999531923529057
0.25000021127786,0.120000396894001,0.00999821014718271,0.0200006315834176,0.0999469854351532
0.250000620854706,0.120000730711957,0.0100003099445027,0.0199997878178298,0.0999390408404084
0.250001449821852,0.120001225998428,0.0100048519004416,0.0199980067136018,0.0999283991997622
0.250002975316175,0.120001926792194,0.0100133540266589,0.0199947364797228,0.0999137156145125
0.250005598001071,0.120002877053068,0.0100277867073183,0.019989269597827,0.0998932859100177
0.250009935687847,0.120004120215758,0.0100504062724265,0.0199808102678371,0.099865186223167
0.250016913461015,0.120005704654679,0.0100837088156527,0.0199684956599174,0.099827304833268
0.250027606082212,0.120007666533948,0.0101301545152066,0.0199514829859914,0.0997775636744009
0.250043425824108,0.12000999501592,0.0101921540921969,0.0199289521784837,0.0997138960401516
0.250069384072784,0.120012056578069,0.0102714785300537,0.019900281523549,0.099634576575864
0.250108036562576,0.120013701633536,0.0103692996427377,0.0198650181908573,0.0995382626320951
0.25016274167251,0.120014694623105,0.0104858928558584,0.0198229928519655,0.0994241386639628
0.250238242128624,0.120014562746718,0.0106199004632827,0.0197745472353805,0.0992924651491726
0.250339913425779,0.120012817506111,0.0107684788851133,0.0197205089888025,0.0991444825877855
0.250473875651528,0.120008885763301,0.0109268550293938,0.0196623215714791,0.0989827596349494
0.250646086540975,0.120002381645068,0.0110897937986194,0.0196016489341318,0.098810176814033
