alpha,gamma,delta,sigma,tau
0.250006055315063,0.119999540105581,0.0099477964429451,0.0200306161135102,0.020068885945012
0.250012423340037,0.119999052905952,0.00989226550714966,0.020063401549686,0.0201426528245198
0.250018931984459,0.119998540335485,0.00983360056973052,0.0200982179787776,0.0202209893937603
0.250025438247718,0.119998003727011,0.00977193811987489,0.0201349781769888,0.0203036993963691
0.250031884941684,0.119997443927317,0.00970736458473039,0.0201736384097103,0.020390684426511
0.250038278652499,0.119996861599477,0.00963992806720787,0.0202141847471638,0.0204819131384249
0.250044602787382,0.119996257465433,0.00956965363112973,0.020256617448534,0.0205773861114175
0.250050712197004,0.119995632454784,0.00949655990224606,0.0203009360255323,0.0206771022425241
0.25005634856888,0.119994987659587,0.00942067030162042,0.0203471288903756,0.0207810354545763
0.250061323729179,0.119994324210291,0.00934201758674606,0.0203951674879625,0.0208891214940995
0.250065769873738,0.119993643319385,0.00926064192081336,0.0204450046141587,0.021001254147212
0.250070301010482,0.119992946676218,0.00917659403768607,0.0204965697691154,0.0211172747839575
0.250075979518509,0.119992237255189,0.00908995335105718,0.0205497558360876,0.0212369423845588
0.250084090841511,0.119991520369192,0.0090008649981538,0.0206043954109122,0.0213598802795179
0.250095786152004,0.11999080410423,0.00890957965781539,0.0206602394346466,0.0214855280743126
0.250112016121168,0.119990098033723,0.00881643521116303,0.0207169771595076,0.0216131865690069
0.25013446464303,0.119989410799216,0.00872187418903929,0.0207742280502818,0.0217419995364798
0.250165034774723,0.119988752554345,0.0086264184620726,0.0208315667112579,0.021871009828534
0.250205764495691,0.119988138326013,0.00853064881862008,0.0208885437744171,0.0219992063308395
0.250262331223728,0.119987581240623,0.00843516741878064,0.0209447078364662,0.0221255733665037
0.250339924573879,0.11998709907802,0.00834073138475943,0.0209995375505991,0.022248939321435
0.250444074746586,0.119986716215206,0.00824824567069078,0.0210524689054554,0.0223680321960375
0.250583597684627,0.119986455444529,0.00815882111301051,0.0211028484975758,0.0224813832434715
0.250767112030916,0.119986351820728,0.00807383547893227,0.0211499281306051,0.0225873089744618
0.251006345448167,0.119986443222693,0.00799490630361166,0.0211928843741151,0.0226839566023234
0.251318812465961,0.119986764549384,0.00792382334961033,0.0212308602963112,0.0227693979944576
0.251728436425511,0.119987349159718,0.00786181795753165,0.0212633520466081,0.0228424994930872
0.252278276549392,0.119988161011532,0.00780839584796145,0.0212907766520675,0.0229041992888838
0.253038245638562,0.119989063640701,0.00776282869961378,0.021313635966812,0.022955626527333
0.254061917798975,0.119990014332683,0.00772476130911993,0.0213322193337083,0.0229974326018167
0.255387769758886,0.119991085007951,0.00769415815005914,0.02134662346358,0.0230298421114189
0.257061993571011,0.119992372549246,0.00767096155065687,0.0213569520873996,0.0230530796470918
0.259121979604634,0.119994083051318,0.00765500725244197,0.0213633201246352,0.023067412501285
0.2615934693839,0.119996540670017,0.00764572629283422,0.0213660323123261,0.0230735287024693
0.26447395088475,0.120000208334342,0.00764168208553359,0.0213658033987277,0.0230730375283592
0.267715727442798,0.120005739691534,0.00764072075534332,0.0213636639230242,0.0230682777366535
0.271220430526913,0.120014090452726,0.00763935149099288,0.0213612850756423,0.0230629744225208
0.2748124555002,0.120026521521012,0.00763358269929364,0.0213605034055206,0.0230612898103792
0.278380327394087,0.120044072359046,0.00762477541127412,0.0213605423610482,0.0230614695731578
0.281794882326317,0.12006803987962,0.00761429703715744,0.0213606329431849,0.0230617808136079
0.284899239082205,0.120099749428941,0.00759743102057546,0.0213628960613985,0.0230669954691418
0.287606893874447,0.120140086312277,0.00756310897527094,0.0213723308685362,0.0230883797133353
0.289784643521661,0.120190171757759,0.00749907137771608,0.0213943066065972,0.0231380397259544
0.291223635072333,0.120251415556201,0.00739949709668404,0.0214311006474941,0.023221038567121
0.291743697348352,0.120324955418466,0.00727336790014039,0.0214780614822899,0.0233268067599598
0.291326915966836,0.120411053708361,0.00712836622772431,0.0215312541631427,0.0234465274765833
0.290135372207874,0.120509048278968,0.00696605004241811,0.0215897180829586,0.0235781492523683
0.288316407834525,0.120618414633433,0.00679145503963868,0.0216509876089988,0.0237159195323989
0.286077159941382,0.120738386744515,0.00661030544058907,0.0217122784545458,0.0238539063712112
0.283547153093065,0.120867917083717,0.00642604345806988,0.0217721254031589,0.0239884566153501
0.280901879324628,0.121005517666453,0.00624095541911741,0.02182964305477,0.0241178606225633
0.278247047308329,0.121149743764144,0.00605624538738458,0.0218845244171991,0.0242413947012152
0.27573882605146,0.121298795531453,0.00587109646936606,0.0219373741860859,0.0243603545119516
0.273284877930698,0.121451647934615,0.00568559224559859,0.0219883283613787,0.0244750817709654
0.270847998945258,0.121606946900655,0.00550086962440371,0.0220370277377292,0.0245848101325085
0.268488709744456,0.121762888907666,0.00531828481461454,0.0220830005433736,0.0246884773782255
0.266236569611251,0.121917690607974,0.0051394974234466,0.0221256221868782,0.0247846910783006
0.264232156336117,0.122069130190394,0.00496631528125811,0.0221642514515717,0.0248720298993295
0.262208229831179,0.122216162501113,0.00479743478924032,0.022199382342487,0.0249515288947166
0.260225034057029,0.122356475189156,0.00462642802351574,0.0222336594349915,0.0250292084406744
0.258241533169887,0.122488376756801,0.00445683471061385,0.0222656296139291,0.0251018811367075
0.256381124865003,0.122610673099147,0.00428869670591886,0.0222949226156329,0.0251688953479886
0.254597540967502,0.122722341038022,0.00412318529191079,0.0223212053832407,0.0252292617650625
0.252630691081088,0.122822505159295,0.00396141099775061,0.0223444744069157,0.0252830158777404
0.250549168173499,0.122908850591646,0.00380385676095958,0.0223652408240208,0.025331249949285
0.248266579716264,0.122979234509652,0.00365111921293705,0.0223842046445455,0.0253754481591087
0.245810715325213,0.123032338176815,0.0035089211145972,0.0223999431236672,0.0254126758603433
0.243264494810817,0.123067485970093,0.00337086800014124,0.0224157380924536,0.0254493075766479
0.240746861905676,0.123082747529878,0.00323174670204386,0.0224343284271374,0.0254927646526759
0.238099792017292,0.12307786157611,0.00309728727119738,0.0224542244495691,0.0255390021964483
0.23559466137746,0.123052635726226,0.00296806003931343,0.022475664276556,0.0255880443811724
0.233086736246614,0.123007644204684,0.00284508535186736,0.0224986545268542,0.0256408468884442
0.230588812162462,0.122942540610595,0.00272866844313371,0.0225234887843021,0.0256968794199803
0.228279980922263,0.122857005721217,0.00261875150291363,0.0225502502525548,0.0257568897421146
0.226157109152825,0.122751642937162,0.00251551954158342,0.0225789353256046,0.0258213763462673
0.224403573085143,0.122626925357093,0.0024189784534017,0.022609603922227,0.0258891309302212
0.223037063099272,0.122483662305589,0.00233480818360413,0.0226401453829114,0.0259567769640866
0.221805195377599,0.122324495693462,0.00225821420635745,0.0226723192095387,0.0260268407246792
0.22066219308502,0.12215072494541,0.00218406098011764,0.0227080408719587,0.0261043163861871
0.219688953286551,0.121963278634227,0.00211726965219736,0.0227456086875808,0.0261853085789315
0.218928305650745,0.121764833793571,0.00205946069632893,0.022783823337121,0.0262683517618937
0.218127633787366,0.121558226755791,0.0020159861174999,0.0228205456043684,0.0263475021070679
0.217477003707481,0.121344624464933,0.00197056763202399,0.0228612967652871,0.0264357696305101
0.216699515607449,0.121126726694488,0.00193144340140127,0.0229028300077815,0.0265264422077077
0.215816885924847,0.120906054417656,0.00190633543808795,0.0229419930636773,0.0266111997642183
0.214939913822011,0.120683555302085,0.00188293893091386,0.022982601832192,0.0266998413826575
0.214125846831939,0.120460141547803,0.00186806770084002,0.0230217320087332,0.0267846215891826
0.213492349406942,0.120236267958323,0.00185692076751625,0.023060475517896,0.0268686441612662
0.212977465437309,0.120012755687944,0.00184769861344773,0.0230989558211772,0.026952753869454
