alpha,gamma,delta,sigma,tau
0.300000010211326,0.099999995801018,0.0299984282987876,0.050000269522481,0.0999906065288233
0.30000002152343,0.0999999971523902,0.0299965958064413,0.0500005780437971,0.0999770772876015
0.300000034579591,0.100000009217015,0.0299944948744862,0.0500009260253828,0.0999582737680078
0.300000050181525,0.100000038260922,0.0299920921060742,0.050001318902263,0.0999329055799822
0.300000069274718,0.100000091444004,0.0299893226677788,0.0500017683364324,0.0998995566831303
0.300000085035562,0.100000164597181,0.0299861048547097,0.050002273447004,0.0998567364635353
0.300000106451548,0.100000276623003,0.0299823427584533,0.0500028719797364,0.0998029471129602
0.300000134469353,0.100000434691656,0.0299779904505873,0.0500035747685015,0.0997367125668757
0.300000176933242,0.100000655685375,0.0299729767875188,0.0500044168736724,0.0996567794456868
0.300000227210807,0.100000931274569,0.0299672103143103,0.0500054047654741,0.0995622363153123
0.300000284944282,0.100001262206413,0.0299606068060122,0.0500065649545438,0.0994527782768308
0.300000351122807,0.100001645678648,0.0299531043271519,0.0500079151226875,0.0993282064253272
0.300000425800728,0.100002076772693,0.0299446408383676,0.0500094719683158,0.0991884453756217
0.300000502801064,0.100002537849715,0.0299351321501207,0.0500112327360962,0.099033638014553
0.300000588461681,0.10000302719125,0.0299244720867508,0.0500132304782995,0.0988640940179942
0.300000683391738,0.100003533125971,0.0299125305191279,0.0500154810884387,0.098680205353795
0.300000787870881,0.100004043845626,0.0298991487306782,0.0500180005748821,0.0984823546104134
0.300000906177108,0.10000455576648,0.0298841302831581,0.0500208218557326,0.0982707943620293
0.300001031966643,0.100005049780009,0.0298672336329969,0.0500239464450464,0.0980455635037124
0.300001166132479,0.100005518736943,0.0298481823535657,0.0500274031543994,0.0978063718943137
0.300001302644533,0.100005946651321,0.0298266301972579,0.0500312144375117,0.0975524620108115
0.30000144841293,0.100006342452121,0.0298022010215899,0.0500354452456289,0.097282443035776
0.300001605784436,0.100006710865785,0.0297744666889788,0.0500401518702043,0.0969942146097942
0.300001789016547,0.100007075124303,0.0297429711111411,0.0500454179719754,0.096684864893363
0.300001978350522,0.100007412208827,0.0297071360144398,0.050051276984154,0.0963506213783601
0.300002187231561,0.100007742264526,0.0296663915753876,0.0500578287020715,0.0959868296729305
0.300002420152157,0.100008079784233,0.0296201353762489,0.0500651577912106,0.0955880183396979
0.300002687488187,0.100008450004138,0.0295677203014081,0.0500733565780561,0.0951480022536198
0.300003006511515,0.100008883025352,0.0295082987651146,0.050082542035113,0.0946599825095685
0.300003398880221,0.100009383101851,0.0294406438331773,0.0500928776513216,0.0941166527959458
0.300003885693953,0.10000991499537,0.0293631466240361,0.0501045871172841,0.0935103954299283
0.300004481103901,0.100010431377244,0.0292740738309104,0.0501179273795434,0.0928334012069642
0.300005190989968,0.100010877605398,0.0291717900911794,0.0501331664955673,0.0920778784030494
0.300006004488377,0.100011184466458,0.0290548741853966,0.0501505564854326,0.0912361769024528
0.300006875691811,0.100011272367908,0.0289222250212067,0.0501703136570629,0.0903008851893158
0.300007749027681,0.10001105568384,0.0287732079829103,0.0501926050183319,0.0892649689681997
0.300008601035397,0.100010448560963,0.0286077535067547,0.0502175331509336,0.0881219894732334
0.300009427507198,0.100009375842002,0.0284263199319293,0.0502451322851332,0.0868663067283495
0.300010205873561,0.100007779621542,0.0282297441663371,0.0502753849046411,0.0854933286347683
0.30001090339644,0.100005593334962,0.0280190366246899,0.0503082503380795,0.0839998006065566
0.300011490015997,0.100002793765823,0.0277953963540551,0.050343664736652,0.082384099439545
0.300011928538337,0.0999994394359183,0.0275601807583831,0.0503815355337285,0.0806464829541172
0.300012227011775,0.0999955986658519,0.0273147278505363,0.0504217621749773,0.0787893041611968
0.300012406138976,0.0999913290432603,0.0270601587088194,0.0504642756496903,0.0768172350681591
0.300012517701751,0.0999867625626503,0.0267975074290744,0.0505090984533598,0.0747377007255508
0.300012567587667,0.0999819864052616,0.026527269813774,0.0505561611542305,0.0725595400207067
0.300012563414756,0.0999770559663982,0.0262493144225322,0.0506053558616535,0.0702932540942689
0.300012534818895,0.099972007932951,0.0259640073904551,0.0506567524632768,0.0679526638969758
0.300012492195433,0.0999668420423876,0.0256705081145426,0.0507102390549812,0.0655517222294646
0.300012473229371,0.0999615921082814,0.0253682760093598,0.0507659441776207,0.0631075561797291
0.300012470347789,0.0999562442666529,0.0250571180162206,0.0508238472040463,0.0606377757271309
0.300012482015321,0.0999507592749592,0.0247381716569485,0.0508839220530316,0.0581615789832111
0.300012521112462,0.0999450572807987,0.0244124775564605,0.050945952645201,0.0556971011885657
0.30001256014672,0.0999391394030656,0.0240823362142347,0.051009625012188,0.0532628415281087
0.300012561034868,0.0999330351865324,0.0237498610019451,0.0510747905437227,0.0508773616102571
0.30001251289127,0.0999267502142712,0.0234165838022161,0.0511411401410304,0.0485566480816951
0.300012430217854,0.0999202722320058,0.0230833707494374,0.0512083504552865,0.0463142540271798
0.300012310146139,0.0999136397913553,0.0227508728048532,0.0512762897733523,0.0441628565262932
